algorithm,num_updates,progress_fraction,stage,n_runs,solve_rate_mean,solve_rate_sem,solve_rate_n,return_mean_mean,return_mean_sem,return_mean_n,bank_size_mean,bank_size_sem,bank_size_n,score_priority_lift_mean,score_priority_lift_sem,score_priority_lift_n,score_priority_lift_q80_normalized_mean,score_priority_lift_q80_normalized_sem,score_priority_lift_q80_normalized_n,exact_unique_ratio_mean,exact_unique_ratio_sem,exact_unique_ratio_n,duplicate_fraction_mean,duplicate_fraction_sem,duplicate_fraction_n,dominant_share_mean,dominant_share_sem,dominant_share_n,shannon_effective_size_mean,shannon_effective_size_sem,shannon_effective_size_n,simpson_effective_size_mean,simpson_effective_size_sem,simpson_effective_size_n,topology_unique_ratio_mean,topology_unique_ratio_sem,topology_unique_ratio_n,mean_pairwise_wall_distance_d4_mean,mean_pairwise_wall_distance_d4_sem,mean_pairwise_wall_distance_d4_n,mean_nearest_wall_distance_d4_unique_mean,mean_nearest_wall_distance_d4_unique_sem,mean_nearest_wall_distance_d4_unique_n,mean_wall_count_mean,mean_wall_count_sem,mean_wall_count_n,mean_wall_fraction_mean,mean_wall_fraction_sem,mean_wall_fraction_n,mean_solvable_mean,mean_solvable_sem,mean_solvable_n,mean_shortest_path_mean,mean_shortest_path_sem,mean_shortest_path_n,mean_manhattan_distance_mean,mean_manhattan_distance_sem,mean_manhattan_distance_n,mean_path_stretch_mean,mean_path_stretch_sem,mean_path_stretch_n,mean_reachable_fraction_mean,mean_reachable_fraction_sem,mean_reachable_fraction_n,mean_dead_end_fraction_mean,mean_dead_end_fraction_sem,mean_dead_end_fraction_n,mean_junction_fraction_mean,mean_junction_fraction_sem,mean_junction_fraction_n
Editor transfer,2200,0.07333333333333333,Early (0-10k),3,0.08750000099341075,0.028867513889640786,3,0.04216999591638645,0.01517483682082213,3,4000.0,0.0,3,0.02433644173045953,0.008208625047269193,3,0.7716384091555382,0.24726716884452105,3,0.2916666666666667,0.07291666666666667,3,0.7083333333333334,0.07291666666666667,3,0.7083333333333334,0.0890000390137243,3,3.718006685927213,1.3465374135539363,3,2.1399446793157995,0.5825655258219608,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,2400,0.08,Early (0-10k),3,0.09166666865348816,0.029166668653488163,3,0.028876662254333496,0.0075540282162354835,3,4000.0,0.0,3,0.01741932169534266,0.003932530557597304,3,0.5770728361092015,0.1269649213738314,3,0.2708333333333333,0.010416666666666666,3,0.7291666666666666,0.010416666666666668,3,0.7291666666666666,0.027559909490256152,3,3.084608493189355,0.25685662637869255,3,1.8548498202844195,0.1252067577891807,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,2600,0.08666666666666667,Early (0-10k),3,0.06666666890184085,0.023199019248989452,3,0.03378666409601768,0.018297305029265652,3,4000.0,0.0,3,0.016907478372255962,0.0020276437093892322,3,0.5765379283499147,0.05943857061877174,3,0.3541666666666667,0.020833333333333336,3,0.6458333333333334,0.020833333333333332,3,0.6458333333333334,0.010416666666666668,3,4.343589193270474,0.21145840394134335,3,2.328176904147419,0.07285274376706004,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,2800,0.09333333333333334,Early (0-10k),3,0.10833333681027095,0.05833333606521288,3,0.046788331742088,0.02741083593272242,3,4000.0,0.0,3,0.01694193381505708,0.002023332483320858,3,0.6116669899412231,0.07716115826245377,3,0.4166666666666667,0.09258535851370406,3,0.5833333333333334,0.09258535851370406,3,0.5729166666666666,0.0683066512948125,3,6.148985617633362,1.9922702192139778,3,3.1551244107956404,0.8185851789910454,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,3000,0.1,Early (0-10k),3,0.0625,0.01249999925494194,3,0.029934999843438465,0.012967725490107352,3,4000.0,0.0,3,0.02228048079026242,0.0051618085384363835,3,0.802732559857292,0.16488519033738677,3,0.3958333333333333,0.020833333333333336,3,0.6041666666666666,0.020833333333333332,3,0.5625,0.018042195912175808,3,5.624178874355458,0.4098508123984468,3,2.9858334069370702,0.17614701068905453,3,0.3958333333333333,0.020833333333333336,3,0.14612362410129157,0.002356666501570236,3,0.18535737766506996,0.0023183046956321003,3,23.416666666666668,0.5322702621267174,3,0.13856015779092704,0.003149528178264598,3,1.0,0.0,3,10.645833333333334,0.3811703013235831,3,10.416666666666666,0.31058440658074116,3,1.0454861111111111,0.024283223867924815,3,0.9994272488557696,0.00018970743141099306,3,0.021245487165332644,0.003774795847470541,3,0.8310936898384756,0.006753758751732925,3
Editor transfer,3200,0.10666666666666667,Early (0-10k),3,0.15000000596046448,0.01250000298023224,3,0.06944999719659488,0.008205926888677221,3,4000.0,0.0,3,0.019845486502163112,0.003787259128843995,3,0.7493636101259309,0.154904854549713,3,0.34375,0.036084391824351615,3,0.65625,0.036084391824351615,3,0.6145833333333334,0.010416666666666668,3,4.533200546056919,0.437828157248424,3,2.5145117970799196,0.10693105729647352,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,3400,0.11333333333333333,Early (0-10k),3,0.09583333631356557,0.04912427753287169,3,0.04292833060026169,0.02154144055431844,3,4000.0,0.0,3,0.016858014355724055,0.0028739255128739146,3,0.6373126445108425,0.08733421839526136,3,0.3958333333333333,0.010416666666666666,3,0.6041666666666666,0.010416666666666668,3,0.6145833333333334,0.020833333333333332,3,5.002698295976095,0.3315797960282809,3,2.570765078767338,0.1526391765518107,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,3600,0.12,Early (0-10k),3,0.13333333438883224,0.06859199011362772,3,0.06634332953641812,0.03308722649100817,3,4000.0,0.0,3,0.015509064231688777,0.0018637754263319604,3,0.6166537224315426,0.07019071999141194,3,0.4583333333333333,0.0683066512948125,3,0.5416666666666666,0.0683066512948125,3,0.53125,0.0625,3,7.083888037586167,1.8638316411967604,3,3.607290882841461,0.8911011094666503,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,3800,0.12666666666666668,Early (0-10k),3,0.1333333378036817,0.05220818731944547,3,0.06890833129485448,0.021436716200543444,3,4000.0,0.0,3,0.013177384544784823,0.0023080849896691606,3,0.5343298803269197,0.07630384395172844,3,0.3854166666666667,0.07291666666666667,3,0.6145833333333334,0.07291666666666667,3,0.6041666666666666,0.05511981898051231,3,5.264927235525941,1.295336660878784,3,2.748792861865303,0.511874705867949,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,4000,0.13333333333333333,Early (0-10k),3,0.10000000149011612,0.050518149230057145,3,0.04221999955674013,0.022001401516115748,3,4000.0,0.0,3,0.014091697288677096,0.0013043042429793398,3,0.5816674943396736,0.03645769086877641,3,0.3958333333333333,0.03755782578608323,3,0.6041666666666666,0.03755782578608323,3,0.6145833333333334,0.04540519732854869,3,5.111906318215718,0.8834413732498648,3,2.6309032247920388,0.37597362804046647,3,0.3958333333333333,0.03755782578608323,3,0.1331917668766304,0.012856899858756004,3,0.1908433446894985,0.0012350713238761424,3,23.291666666666668,0.3896167543596884,3,0.1378205128205128,0.002305424582009992,3,1.0,0.0,3,9.760416666666666,0.47473036937941004,3,9.677083333333334,0.47197961496704965,3,1.0133680555555558,0.007644805158438897,3,0.9992835434982922,7.135037946769896e-05,3,0.01893589397933483,0.0028790769413118123,3,0.8135314647532125,0.004187932174572376,3
Editor transfer,4200,0.14,Early (0-10k),3,0.1541666661699613,0.05464531531696214,3,0.06661166250705719,0.015214950733489023,3,4000.0,0.0,3,0.019403030319760244,0.002938105600289639,3,0.8062339601488651,0.09922046596170982,3,0.4270833333333333,0.027559909490256156,3,0.5729166666666666,0.027559909490256152,3,0.5833333333333334,0.03755782578608323,3,5.681257966560551,0.6716437835223267,3,2.8660994436439657,0.31052184098940266,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,4400,0.14666666666666667,Early (0-10k),3,0.0833333358168602,0.01102396454705052,3,0.035273332769672074,0.006085481138838678,3,4000.0,0.0,3,0.017759428165542584,0.002648262029295099,3,0.7582517743802839,0.11480101011203472,3,0.375,0.0,3,0.625,0.0,3,0.6041666666666666,0.027559909490256156,3,4.9345866777301435,0.320594338899864,3,2.6399203800077715,0.20222123017539712,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,4600,0.15333333333333332,Early (0-10k),3,0.045833334947625794,0.01502313105490019,3,0.017843332141637802,0.003993853666953694,3,4000.0,0.0,3,0.016338129838307697,0.000526892080693177,3,0.7005980358153153,0.012046336772751146,3,0.4375,0.018042195912175808,3,0.5625,0.018042195912175808,3,0.5416666666666666,0.03755782578608323,3,6.308209307564073,0.6578856003064777,3,3.2555550080645426,0.3968002553358771,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,4800,0.16,Early (0-10k),3,0.06666666766007741,0.03410563648878642,3,0.022761665284633636,0.011401291765890564,3,4000.0,0.0,3,0.01857665468317767,0.004879602413963063,3,0.8303331278411806,0.2271007472221985,3,0.3541666666666667,0.03755782578608322,3,0.6458333333333334,0.03755782578608323,3,0.6041666666666666,0.07511565157216644,3,4.822197826973992,0.9730444094203793,3,2.7286627527723417,0.5156699485098164,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Editor transfer,5000,0.16666666666666666,Early (0-10k),3,0.09583333383003871,0.04639803604467864,3,0.049198330690463386,0.013155066313092987,3,4000.0,0.0,3,0.01336690317839384,0.002600455004496215,3,0.5946371081923235,0.10480338318274637,3,0.25,0.018042195912175808,3,0.75,0.018042195912175808,3,0.7395833333333334,0.04540519732854869,3,2.9141018055853216,0.4013524434655098,3,1.8186010334738352,0.20672514680645174,3,0.25,0.018042195912175808,3,0.09541420118343195,0.011743978390977903,3,0.1854317335086566,0.004292515046355753,3,23.354166666666668,0.2831724420639206,3,0.13819033530571992,0.0016755765802598781,3,1.0,0.0,3,8.072916666666666,1.427539464817387,3,7.989583333333333,1.43118328325822,3,1.0107323232323233,0.0030111717216444226,3,0.9997141131291124,0.000188680453755919,3,0.022984433681691004,0.005079576053626526,3,0.8046932152991889,0.005358162852798466,3
